cik,filing_date_8k,items,accession
27904,2012-02-06,"8.01,9.01",0001019687-12-000335
27904,2012-01-25,"2.02,9.01",0001019687-12-000207
27904,2011-12-14,"7.01,9.01",0001019687-11-003846
27904,2011-11-28,"5.02,9.01",0001019687-11-003719
27904,2011-10-25,"2.02,9.01",0001019687-11-003258
27904,2011-09-13,"7.01,9.01",0001019687-11-002966
27904,2011-08-30,"1.01,8.01,9.01",0001019687-11-002856
27904,2011-08-17,"8.01,9.01",0000950123-11-078245
27904,2011-07-27,"2.02,9.01",0001019687-11-002344
27904,2011-07-21,"5.02,9.01",0001019687-11-002296
27904,2011-06-30,5.07,0001019687-11-002100
27904,2011-06-27,"7.01,9.01",0001019687-11-002059
27904,2011-05-19,"7.01,9.01",0001019687-11-001736
27904,2011-04-26,"1.01,2.03",0001019687-11-001321
27904,2011-04-26,"2.02,9.01",0001019687-11-001317
27904,2011-04-05,"2.03,8.01,9.01",0000950123-11-032970
27904,2011-03-22,"7.01,9.01",0001019687-11-000926
27904,2011-02-17,5.02,0001019687-11-000576
27904,2011-02-15,5.02,0001019687-11-000554
27904,2011-02-14,"8.01,9.01",0000950123-11-013689
27904,2011-02-14,"8.01,9.01",0000950123-11-013700
27904,2011-02-03,"7.01,9.01",0001019687-11-000378
27904,2011-01-18,"2.02,9.01",0001019687-11-000185
27904,2010-12-15,1.01,0001019687-10-004436
27904,2010-12-15,"7.01,9.01",0001019687-10-004423
27904,2010-11-22,"2.03,8.01,9.01",0000950123-10-107663
27904,2010-10-20,"2.02,9.01",0001019687-10-003700
27904,2010-10-05,"8.01,9.01",0001019687-10-003574
27904,2010-09-14,"7.01,9.01",0001019687-10-003352
27904,2010-09-13,"8.01,9.01",0001019687-10-003324
27904,2010-08-25,"8.01,9.01",0001019687-10-003181
27904,2010-07-19,"2.02,9.01",0001019687-10-002681
27904,2010-07-02,"1.01,2.03,9.01",0000950123-10-063372
27904,2010-07-01,5.07,0001019687-10-002499
27904,2010-06-15,"7.01,9.01",0001019687-10-002282
27904,2010-06-11,"5.04,9.01",0001019687-10-002254
27904,2010-04-20,"2.02,9.01",0001019687-10-001498
27904,2010-03-09,"7.01,9.01",0001019687-10-000908
27904,2010-02-09,"5.02,9.01",0001019687-10-000486
27904,2010-01-26,"2.02,9.01",0001188112-10-000127
27904,2009-12-15,"7.01,9.01",0001188112-09-002584
27904,2009-12-09,"7.01,9.01",0001188112-09-002565
27904,2009-12-09,"7.01,9.01",0001188112-09-002560
27904,2009-11-24,"1.01,2.03,9.01",0000950123-09-065564
27904,2009-10-22,"2.02,9.01",0001188112-09-002201
27904,2009-09-28,"7.01,9.01",0000950123-09-046540
27904,2009-09-22,"8.01,9.01",0000950123-09-044918
27904,2009-09-16,"8.01,9.01",0000950123-09-043463
27904,2009-09-14,"7.01,9.01",0000950123-09-042857
27904,2009-08-12,"8.01,9.01",0001019687-09-002813
27904,2009-07-22,"2.02,7.01,9.01",0001019687-09-002564
27904,2009-06-11,"7.01,9.01",0001019687-09-002083
27904,2009-06-08,8.01,0001019687-09-002059
27904,2009-05-01,"8.01,9.01",0001019687-09-001566
27904,2009-04-21,"2.02,9.01",0001019687-09-001435
27904,2009-03-10,"7.01,9.01",0001019687-09-000780
27904,2009-01-27,"2.02,9.01",0001019687-09-000299
27904,2009-01-23,5.02,0001019687-09-000277
27904,2008-12-29,"8.01,9.01",0001019687-08-005640
27904,2008-12-09,"7.01,8.01,9.01",0001019687-08-005390
27904,2008-12-02,"7.01,9.01",0001019687-08-005291
27904,2008-11-21,"7.01,9.01",0001019687-08-005182
27904,2008-11-07,"2.01,8.01,9.01",0001019687-08-004887
27904,2008-10-31,"2.01,8.01,9.01",0001019687-08-004756
27904,2008-10-15,"2.02,9.01",0001019687-08-004547
27904,2008-09-25,"8.01,9.01",0001019687-08-004295
27904,2008-09-18,"7.01,9.01",0001019687-08-004201
27904,2008-08-26,"2.03,8.01,9.01",0001188112-08-002452
27904,2008-07-16,"2.02,8.01,9.01",0001019687-08-003069
27904,2008-07-02,1.01,0001188112-08-002083
27904,2008-06-18,"7.01,9.01",0001019687-08-002740
27904,2008-06-06,"2.05,5.02,8.01",0001193125-08-129677
27904,2008-05-22,"5.03,7.01,9.01",0001019687-08-002378
27904,2008-04-23,"2.02,9.01",0001019687-08-001812
27904,2008-04-18,"1.01,5.02,9.01",0001019687-08-001770
27904,2008-04-15,"8.01,9.01",0001019687-08-001632
27904,2008-04-10,7.01,0001019687-08-001583
27904,2008-04-04,"5.03,9.01",0001019687-08-001526
27904,2008-03-18,"7.01,9.01",0001019687-08-001145
27904,2008-02-13,5.02,0001188112-08-000317
27904,2008-02-08,"5.02,9.01",0001188112-08-000281
27904,2008-01-23,"2.02,9.01",0001019687-08-000278
27904,2007-12-07,"7.01,9.01",0001019687-07-004240
27904,2007-12-04,"7.01,9.01",0001019687-07-004209
27904,2007-11-29,5.02,0001019687-07-004179
27904,2007-11-14,"8.01,9.01",0001188112-07-003369
27904,2007-11-14,"8.01,9.01",0001188112-07-003362
27904,2007-10-17,"1.01,2.03,9.01",0001188112-07-003018
27904,2007-10-16,"2.02,9.01",0001188112-07-003007
27904,2007-10-11,"1.01,8.01,9.01",0001188112-07-002988
27904,2007-10-02,8.01,0001188112-07-002917
27904,2007-09-12,"7.01,9.01",0001188112-07-002780
27904,2007-08-29,5.02,0001188112-07-002661
27904,2007-08-29,5.02,0001188112-07-002660
27904,2007-08-27,5.02,0001188112-07-002636
27904,2007-07-18,"2.02,9.01",0001188112-07-002155
27904,2007-06-13,"7.01,8.01,9.01",0001188112-07-001828
27904,2007-05-02,"7.01,9.01",0001188112-07-001322
27904,2007-05-02,5.02,0001188112-07-001320
27904,2007-04-30,"1.01,2.03,3.02,5.02,5.03,8.01,9.01",0001188112-07-001266
27904,2007-04-26,"1.03,8.01,9.01",0001188112-07-001216
27904,2007-04-23,"2.02,9.01",0001188112-07-001171
27904,2007-03-29,"2.02,9.01",0001188112-07-000866
27904,2007-03-27,"7.01,9.01",0000950144-07-002682
27904,2007-03-22,"1.01,9.01",0001188112-07-000773
27904,2007-03-09,8.01,0001188112-07-000632
27904,2007-03-02,"2.02,9.01",0001188112-07-000560
27904,2007-02-14,"2.02,9.01",0001188112-07-000381
27904,2007-02-08,"7.01,9.01",0001188112-07-000324
27904,2007-01-30,"8.01,9.01",0001188112-07-000218
27904,2006-12-29,"2.02,9.01",0001188112-06-003808
27904,2006-12-19,"8.01,9.01",0001188112-06-003752
27904,2006-12-19,"8.01,9.01",0001188112-06-003747
27904,2006-11-30,"2.02,9.01",0001188112-06-003594
27904,2006-11-13,"2.02,9.01",0001188112-06-003357
27904,2006-09-29,"2.02,9.01",0001188112-06-002953
27904,2006-08-30,"2.02,9.01",0001188112-06-002700
27904,2006-08-09,"2.02,9.01",0001188112-06-002420
27904,2006-06-30,"2.02,9.01",0001188112-06-001994
27904,2006-05-31,"2.02,5.03,9.01",0001188112-06-001696
27904,2006-05-12,"2.02,9.01",0000950144-06-004894
27904,2006-03-31,"1.01,2.03,8.01,9.01",0000950144-06-003068
27904,2006-03-30,"2.02,9.01",0001188112-06-000894
27904,2006-03-28,"4.01,9.01",0001188112-06-000842
27904,2006-03-14,"8.01,9.01",0001188112-06-000688
27904,2006-03-03,"2.02,9.01",0001188112-06-000599
27904,2006-02-23,"1.01,9.01",0001188112-06-000492
27904,2006-02-15,"2.02,9.01",0001188112-06-000390
27904,2006-02-03,"4.01,9.01",0001188112-06-000275
27904,2006-01-26,"8.01,9.01",0001188112-06-000189
27904,2006-01-10,"8.01,9.01",0001188112-06-000114
27904,2005-12-23,"1.02,9.01",0001188112-05-002170
27904,2005-11-10,"2.02,9.01",0001167966-05-001596
27904,2005-11-02,"8.01,9.01",0001167966-05-001498
27904,2005-10-28,"1.01,1.02",0001167966-05-001461
27904,2005-10-19,"7.01,9.01",0001167966-05-001427
27904,2005-10-12,"1.01,2.03",0001167966-05-001413
27904,2005-10-07,"3.01,8.01,9.01",0001167966-05-001405
27904,2005-10-04,5.02,0001167966-05-001389
27904,2005-09-27,"1.01,8.01,9.01",0001167966-05-001367
27904,2005-09-22,"1.01,2.03,8.01,9.01",0001167966-05-001353
27904,2005-09-19,"8.01,9.01",0001167966-05-001330
27904,2005-09-15,"1.03,8.01,9.01",0001167966-05-001326
27904,2005-09-13,"2.01,9.01",0001167966-05-001323
27904,2005-09-09,3.02,0001167966-05-001304
27904,2005-09-07,"8.01,9.01",0001188112-05-001607
27904,2005-09-02,3.02,0001167966-05-001294
27904,2005-08-25,8.01,0000950144-05-009100
27904,2005-08-16,"8.01,9.01",0000950144-05-008817
27904,2005-07-25,5.02,0001167966-05-001008
27904,2005-07-22,"1.01,5.02,9.01",0001188112-05-001348
27904,2005-07-21,"2.02,7.01,9.01",0000950116-05-002492
27904,2005-07-15,5.02,0001167966-05-000975
27904,2005-06-23,3.02,0001167966-05-000882
27904,2005-06-16,3.02,0001167966-05-000834
27904,2005-06-01,"1.01,9.01",0000950144-05-006068
27904,2005-06-01,"1.01,9.01",0000950144-05-006065
27904,2005-05-23,"5.03,9.01",0001188112-05-001106
27904,2005-05-11,3.02,0001188112-05-000986
27904,2005-05-04,8.01,0001167966-05-000673
27904,2005-04-21,"2.02,7.01,9.01",0001167966-05-000591
27904,2005-03-29,"8.01,9.01",0001167966-05-000468
27904,2005-03-23,5.02,0001167966-05-000411
27904,2005-03-04,1.01,0001188112-05-000396
27904,2005-01-27,"1.01,5.02,5.03,9.01",0001167966-05-000134
27904,2005-01-20,2.05,0000950144-05-000384
27904,2005-01-20,"2.02,7.01,9.01",0001167966-05-000082
27904,2004-12-06,"1.01,2.03,9.01",0001167966-04-001224
27904,2004-12-02,"8.01,9.01",0001167966-04-001213
27904,2004-12-01,"3.02,8.01",0001167966-04-001211
27904,2004-11-24,"8.01,9.01",0001188112-04-001887
27904,2004-11-23,1.01,0001167966-04-001182
